#
# Do not edit this file. It will be replaced during upgrade. If you want to add named accounts, add them to names_custom.txt
#
addr	symbol	source	name	logo	description	contract	visible
0x832904863978b94802123106e6eb491bdf0df928	OPTI	Etherscan.io	OptiToken	optitoken_28.png	An algorithmically traded hyper-deflationary cryptocurrency	true	true
0x83984d6142934bb535793a82adb0a46ef0f66b6d	REM	Etherscan.io	REMME	remme_28.png	Distributed Public Key Infrastructure (PKI) protocol with a set of DApps to enable passwordless authentication	true	true
0x83cee9e086a77e492ee0bb93c2b0437ad6fdeccc	MNTP	Etherscan.io	Goldmint MNT Prelaunch Token	goldmint_28.png	Crypto currency, backed by physical gold	true	true
0x83e2be8d114f9661221384b3a50d24b96a5653f5	ZXC	Etherscan.io	0xcert Protocol Token	0xcert_28.PNG	Create, own, and validate unique assets on the blockchain.	true	true
0x83eea00d838f92dec4d1475697b9f4d3537b56e3	VOISE	Etherscan.io	VOISE	vauxtoken_28.png	Block-Chain Powered Music Platform.	true	true
0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e	UBT	Etherscan.io	UniBright	unibright_28.png	The unified framework for blockchain based business integration	true	true
0x840fe75abfadc0f2d54037829571b2782e919ce4	WEB	Etherscan.io	Webcoin	webcoin_28.png	Webcoin pioneers the technological dawn of global marketing digitalization	true	true
0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda	WTT	Etherscan.io	WTT	gigawatt_28.png	Full-service mining solution provider.	true	true
0x846c66cf71c43f80403b51fe3906b3599d63336f	PMA	Etherscan.io	PumaPay	pumapay_28.png	PumaPay's open-source Pull Payment Protocol is a comprehensive blockchain solution which offers robust payment mechanisms far more credible, efficient, flexible, cost-effective, and scalable than current implementations (credit cards).	true	true
0x84f7c44b6fed1080f647e354d552595be2cc602f	BBO	Etherscan.io	Bigbom	bigbom_28.png	Bigbom Eco serves as a decentralized advertising ecosystem for all parties involved in online advertising, inclusive of advertisers, service providers, content publishers, advertising channels, platforms and more.	true	true
