blockNum	nBlocks	blksWithTxs	blksWithoutTxs	blksWithBlooms	blksWithoutBlooms	bitsInBloomsBlk	bytesInBloomsBlk	
2530000	0	0	0	1980	0	260915	535616	
2540000	0	0	0	1959	0	238049	528688	
2550000	0	0	0	1973	0	281967	533904	
2560000	0	0	0	1949	0	249073	526160	
2570000	0	0	0	1942	0	229156	522968	
2580000	0	0	0	1939	0	215476	522728	
2590000	0	0	0	1949	0	241495	525976	
2600000	0	0	0	1970	0	255589	531352	
2610000	0	0	0	1960	0	240769	528960	
2620000	0	0	0	1975	0	251526	532336	
2630000	0	0	0	1988	0	248611	537672	
2640000	0	0	0	1980	0	259452	535728	
2650000	0	0	0	1939	0	233529	522368	
