"fromName","ethSpent","usdSpent"
"0x3cebae03e29ef29b515eac65c696c2f344932704 (anon)",0.00564822976490647,17.46
"0x3d0cc91049c386cb60f81d181d9b6890a2586f8f (anon)",0.00527993402580525,16.32
"0x3d21a58408c47dd4631da17d1c492d06acfef085 (anon)",0.00409367687084219,8.3
"0x3dcb29343695c2472b2e34299d348894bc230290 (anon)",0.00596287651053187,18.44
"0x3e31155a1c17c9f85e74828447aec412090a4622 (anon)",0.0142922667848388,60.82
"0x3f40ea90d8a23cc95b98a01b3295fb9059fa6c8c (anon)",0.00472638267815022,14.61
"0x3f60008dfd0efc03f476d9b489d6c5b13b3ebf2c (Grant 1773 - Swivel Finance)",0.0176853957333241,73.17
"0x3f9860ec9361b1d3a9587e9950632aa976b2beb4 (anon)",0.0050632710608733,15.65
"0x3fbb9f73c664638e3197f9cfd44a17468962cff4 (anon)",0.0065086878026772,20.05
"0x4110d47a5d67ecbdd21e5f97c07db16189670290 (Gitcoin Governance Deployer)",0.2545831,617.58
"0x4131826eafdcb7dcd855fae9098ec693165f157d (anon)",0.00382273112810508,9.87
"0x4139fe019502af177eb3060460887be9aa2fa5e0 (anon)",0.00472888206699975,14.62
"0x413fd6b18910e516da68d3292ab9b2dd3a87971d (anon)",0.00092301718901453,1.87
"0x4169c8819a3105bcb766e5fdbf12c97aee09bdb6 (anon)",0.00497596126304988,15.38
"0x41d2a18e1ddacdabfddadb62e9aee67c63070b76 (Grant 0562 Learning Data Science on the Ethereum Blockchain with @omnianalytics)",0.0118062178982455,48.19
"0x427bd8e086a204e4085c4554cfc48b2ed44e602d (anon)",0.00401645249335056,12.37
"0x42f09c50cb4b7deea5d51f5539dab08f65aa299a (anon)",0.00551678321862751,17.05
"0x446c70bf2f50f432f549775ded255e7bf9fa27f6 (anon)",0.00619714562556051,19.15
"0x4527dfd6c9341f18f4b8304e6e6cd67e7766389c (anon)",0.00113384,2.93
"0x483034ddc7f555a48c939df1d0f3bdd7c9af043c (anon)",0.00429757391157162,13.28
"0x4851a5e65e1e41291ac4d0770e72c4668e7d144c (anon)",0.0077016368776482,23.81
"0x4854a08947b94b24a4f0f3d6c35788c38c74507c (anon)",0.00561885564946295,17.37
"0x48766d7cc59cc496fc71e0071fbee96664f30355 (anon)",0.00526728226994947,16.28
"0x4a1d9e3b1a543601a7550d9490cb41936265f715 (anon)",0.0009531693210885,1.93
