"blockNumber","transactionIndex","timestamp","tx_date","from","gasUsed","gasPrice","gasCost","etherGasCost","spotPrice","usdGasCost","hash","name","function","compressedTx"
"13106329","230","1630051765","2021-08-27 08:09:25","0x9fa7fd8d9170f0dda389922e6c956800d5149924","65452","62240636038","4073774109959176","0.004073774109959176","3115.35","12.69","0x68f5064f62ffe38cd71bcbe23270a6b97b4f59ae3a5a8295af1596c061472412","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13109127","133","1630089848","2021-08-27 18:44:08","0xe3939654deae5f54fd3e6b84b3a7f75f245062d8","70865","156745154214","11107745353375110","0.011107745353375110","3228.29","35.86","0xaa55f5f23a77b9afef7ccef9430e97d8b12c4ce2452092c507045c9c1cf25130","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13109688","170","1630097062","2021-08-27 20:44:22","0x224e69025a2f705c8f31efb6694398f8fd09ac5c","96877","88143087264","8539037864874528","0.008539037864874528","3257.27","27.81","0xc96658feb7b4f55a93feef74ef81c6835e82ea8b7ae3248326eff98340b8adee","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13111028","50","1630115465","2021-08-28 01:51:05","0x6c51a5ef1b6736b63c965b3057ae5c5b50de76d3","65452","83605133639","5472123206939828","0.005472123206939828","3262.98","17.86","0xc3654132d7e8c78b773455e0941d5f914839a95b73584546511d1ad439352fc4","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13112317","105","1630132723","2021-08-28 06:38:43","0x28c2779d125be97125e18b0c3a412b7bea9a3d48","37168","42000000000","1561056000000000","0.001561056000000000","3240.75","5.06","0x4baef697e3f5cf79efec17da1d3f2cae7757c734dc19e8aca8aa9e95d91c58d6","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13114420","68","1630160766","2021-08-28 14:26:06","0x6bf1eba9740441d0a8822eda4e116a74f850d81b","122938","61482368686","7558519441519468","0.007558519441519468","3229.79","24.41","0x0a4e5753aa2cec1e81354b87bc0fcd2bef1913e1577cfb2497c50bd729dfc7b1","Grant 2929 - Decentralize Gitcoin Grants","queue","{name:queue|type:function|signature:queue(uint256)|encoding:0xddf0b009|inputs:{proposalId:3}}"
"13115310","93","1630172512","2021-08-28 17:41:52","0xee0579b4c36fd52ec0a2b542fb801f136838b7f1","87965","70012201879","6158623338286235","0.006158623338286235","3255.26","20.05","0x645bdc77edd3bf286b2972c01ffe356b8a668dfeb48e18606eb3f30a02809693","Grant 0635 Ethack Management Ethical Hacking Service","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:4|support:true}}"
"13118797","188","1630218717","2021-08-29 06:31:57","0x19b570af5dddb8f0f5a15c83d07a1c5153865188","70865","41302483013","2926900458716245","0.002926900458716245","3191.12","9.34","0x3d6012b0413b4324653aa0b860bb5360f1ddb1d3e922b65ac65402a439e1fdb9","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:4|support:true}}"
"13119050","230","1630222286","2021-08-29 07:31:26","0x2b888954421b424c5d3d9ce9bb67c9bd47537d12","70865","42746822673","3029253588722145","0.003029253588722145","3193.75","9.67","0xd4f018f90ae4296f1d485b710cdc9fa6ea39152dad167773a106035fd3384634","Lefteris","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:4|support:true}}"
"13119070","291","1630222604","2021-08-29 07:36:44","0x2b888954421b424c5d3d9ce9bb67c9bd47537d12","87965","44589769245","3922339051636425","0.003922339051636425","3193.75","12.53","0x9bcbf85bdf20be81c6e7733669bd1d0bde669e312bfccdd80564cadbbea8c0b4","Lefteris","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:5|support:true}}"
"13120174","54","1630237222","2021-08-29 11:40:22","0x839395e20bbb182fa440d08f850e6c7a8f6f0780","96877","40054882586","3880396860283922","0.003880396860283922","3195.20","12.40","0x9d0e893dea8144e0be0a7c06d6d2c7527c8acc2f19ac049379be1fbc9e9dd876","Griff Green","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:4|support:true}}"
"13120174","57","1630237222","2021-08-29 11:40:22","0x839395e20bbb182fa440d08f850e6c7a8f6f0780","96877","40054882586","3880396860283922","0.003880396860283922","3195.20","12.40","0x53782a46851e4be941f7430cce5d094632c66cd2a3f9bd37b5bc11a598689bad","Griff Green","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:5|support:true}}"
"13120728","247","1630245029","2021-08-29 13:50:29","0xee0579b4c36fd52ec0a2b542fb801f136838b7f1","70865","55852244305","3957969292673825","0.003957969292673825","3191.28","12.63","0x746de436ce17314819e9aacd766ba1e0646e25c745b5271ea4cc047032389a57","Grant 0635 Ethack Management Ethical Hacking Service","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:5|support:true}}"
"13120882","241","1630246924","2021-08-29 14:22:04","0x99fe1a841d59379acd34da92ad01cf4244e73475","65452","53894203732","3527483422666864","0.003527483422666864","3193.50","11.27","0xc374db979c4e0944171a42e9fb12b4fb17bb9fe7f17d7467490d74f900905223","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:4|support:true}}"
"13127071","105","1630329197","2021-08-30 13:13:17","0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6","97513","88044240010","8585457976095130","0.008585457976095130","3167.27","27.19","0x61023201e28d9d8539ea78cd1affcf57f6ea84150949a5d6fd18fb6d6b6d932d","Grant 0747 Simona Pop's Ecosystem Development Activity","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:4|support:true}}"
"13127476","115","1630334440","2021-08-30 14:40:40","0x4c0a466df0628fe8699051b3ac6506653191cc21","96881","81466712924","7892576614790044","0.007892576614790044","3173.31","25.05","0xef2a7673bb66f5a4b97c84a2ec225c1a89920e430c6a03574ca5314c4f4d40b8","tvanepps trent_vanepps","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:4|support:true}}"
"13127487","88","1630334560","2021-08-30 14:42:40","0x4c0a466df0628fe8699051b3ac6506653191cc21","97513","74967546612","7310310372775956","0.007310310372775956","3173.25","23.20","0x5d1c2a302dd005fa90256bac0fc3e61e18d3a540a7082f00b9676a78393a5524","tvanepps trent_vanepps","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:5|support:true}}"
"13127568","39","1630335616","2021-08-30 15:00:16","0x6bf1eba9740441d0a8822eda4e116a74f850d81b","136311","77153080856","10516813604562216","0.010516813604562216","3172.13","33.36","0xfa99a822056bca2cacdab7a3c3091768784868eece0b4c0502df588ed4291926","Grant 2929 - Decentralize Gitcoin Grants","execute","{name:execute|type:function|stateMutability:payable|signature:execute(uint256)|encoding:0xfe0d94c1|inputs:{proposalId:3}}"
"13127670","278","1630336898","2021-08-30 15:21:38","0x8d07d225a769b7af3a923481e1fdf49180e6a265","94881","80000000000","7590480000000000","0.007590480000000000","3171.43","24.07","0xef265b9d2c638de846a445818512d938bf02ae164d83789c4f67deb99fcaf0e6","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:4|support:true}}"
"13127674","106","1630336941","2021-08-30 15:22:21","0x8d07d225a769b7af3a923481e1fdf49180e6a265","70865","80000000000","5669200000000000","0.005669200000000000","3171.94","17.98","0xfed817b546a0218011e1cf427a679eae73be9caa396226aa5a217c3684a74139","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:5|support:true}}"
