DATE	STARTBLOCK	NERRORS
1/22/18	4949164	10047
1/23/18	4955047	10892
1/24/18	4960945	10945
1/25/18	4966906	11591
1/26/18	4972816	10057
1/27/18	4978726	9076
1/28/18	4984730	9297
1/29/18	4990747	12156
1/30/18	4996672	11726
1/31/18	5002539	14163
2/1/18	5008422	35906
2/2/18	5014200	17764
2/3/18	5020065	11516
2/4/18	5026038	8911
2/5/18	5031998	17906
2/6/18	5038023	21882
2/7/18	5043949	23443
2/8/18	5049862	22749
2/9/18	5055864	25071
2/10/18	5061800	23303
2/11/18	5067822	21509
2/12/18	5073777	20419
2/13/18	5079722	34046
2/14/18	5085687	29511
2/15/18	5091547	29917
2/16/18	5097513	35098
2/17/18	5103471	31718
2/18/18	5109507	46366
2/19/18	5115491	38421
2/20/18	5121389	43674
2/21/18	5127203	48355
2/22/18	5133052	36688
2/23/18	5138925	36246
2/24/18	5144851	44072
2/25/18	5150701	53110
2/26/18	5156559	40303
2/27/18	5162362	45531
2/28/18	5168227	46794
3/1/18	5174125	45922
3/2/18	5180004	37217
3/3/18	5185903	35420
3/4/18	5191852	33487
3/5/18	5197733	33737
3/6/18	5203618	28044
3/7/18	5209508	28812
3/8/18	5215423	38352
3/9/18	5221279	29960
3/10/18	5227177	41623
3/11/18	5233070	29571
3/12/18	5239027	32928
3/13/18	5244850	40046
3/14/18	5250715	32463
3/15/18	5256558	33137
3/16/18	5262439	45801
3/17/18	5268357	36366
3/18/18	5274213	22045
3/19/18	5280146	24998
3/20/18	5286107	22296
3/21/18	5292066	40804
3/22/18	5298000	21440
3/23/18	5304014	24009
3/24/18	5309982	22624
3/25/18	5316040	39676
3/26/18	5322064	20815
3/27/18	5328068	20236
3/28/18	5333991	24365
3/29/18	5339940	22543
3/30/18	5345807	36439
3/31/18	5351745	26139
4/1/18	5357795	28099
4/2/18	5363811	35003
4/3/18	5369905	30378
4/4/18	5375904	21142
4/5/18	5381905	20643
4/6/18	5387961	19321
4/7/18	5394012	21858
4/8/18	5400061	40389
4/9/18	5406119	31238
4/10/18	5412114	23298
4/11/18	5418187	25198
4/12/18	5424149	25783
4/13/18	5430047	41275
4/14/18	5435970	32132
4/15/18	5441887	30613
4/16/18	5447826	28860
4/17/18	5453758	38342
4/18/18	5459593	36569
4/19/18	5465388	35511
4/20/18	5471198	36262
4/21/18	5476913	24224
4/22/18	5482796	22968
4/23/18	5488698	27174
4/24/18	5494474	27629
4/25/18	5500194	24984
4/26/18	5506012	23649
4/27/18	5511879	28267
4/28/18	5517593	35068
4/29/18	5523306	55305
4/30/18	5529139	27856
5/1/18	5534863	23894
5/2/18	5540485	23488
5/3/18	5546197	26000
5/4/18	5551878	25215
5/5/18	5557510	28058
5/6/18	5563251	26044
5/7/18	5569014	38344
5/8/18	5574849	35825
5/9/18	5580583	38579
5/10/18	5586313	40005
5/11/18	5591996	40055
5/12/18	5597747	45218
5/13/18	5603501	35063
5/14/18	5609261	33248
5/15/18	5614899	34919
5/16/18	5620631	34585
5/17/18	5626276	44873
5/18/18	5631980	36615
5/19/18	5637616	102612
5/20/18	5643219	50101
5/21/18	5648861	40725
5/22/18	5654548	51984
5/23/18	5660149	34679
5/24/18	5665804	31435
5/25/18	5671367	39150
5/26/18	5677002	50026
5/27/18	5682721	45912
5/28/18	5688355	33517
5/29/18	5694059	39829
5/30/18	5699708	38763
5/31/18	5705317	39898
6/1/18	5710964	34035
6/2/18	5716588	34454
6/3/18	5722220	39494
6/4/18	5727839	34973
6/5/18	5733511	35937
6/6/18	5739102	36027
6/7/18	5744735	40309
6/8/18	5750374	37617
6/9/18	5756053	41645
6/10/18	5761663	43615
6/11/18	5767304	37751
6/12/18	5772961	38741
6/13/18	5778675	34308
6/14/18	5784427	27787
6/15/18	5790192	40741
6/16/18	5795974	30419
6/17/18	5801845	34503
6/18/18	5807760	31749
6/19/18	5813714	43740
6/20/18	5819516	31845
6/21/18	5825339	27117
6/22/18	5831211	42617
6/23/18	5837031	28258
6/24/18	5842953	29997
6/25/18	5848834	37453
6/26/18	5854499	25393
6/27/18	5860247	22307
6/28/18	5866094	23044
6/29/18	5871856	26603
6/30/18	5877620	16996
7/1/18	5883490	10242
