DATE	#TRACES_CALL
8/29/17	625110
8/30/17	623611
8/31/17	599375
9/1/17	628074
9/2/17	541629
9/3/17	488841
9/4/17	690648
9/5/17	670739
9/6/17	715644
9/7/17	684768
9/8/17	726309
9/9/17	595450
9/10/17	507648
9/11/17	564048
9/12/17	627363
9/13/17	580825
9/14/17	628036
9/15/17	747607
9/16/17	618765
9/17/17	535883
9/18/17	658517
9/19/17	603051
9/20/17	573611
9/21/17	588026
9/22/17	523276
9/23/17	462549
9/24/17	422176
9/25/17	492023
9/26/17	486663
9/27/17	491302
9/28/17	509745
9/29/17	490352
9/30/17	463150
10/1/17	464532
10/2/17	486585
10/3/17	509960
10/4/17	487907
10/5/17	469179
10/6/17	497546
10/7/17	476100
10/8/17	490352
10/9/17	501910
10/10/17	525058
10/11/17	500058
10/12/17	548292
10/13/17	611695
10/14/17	586505
10/15/17	510200
10/16/17	752929
10/17/17	747216
10/18/17	809081
10/19/17	863819
10/20/17	775913
10/21/17	634789
10/22/17	634276
10/23/17	785428
10/24/17	869151
10/25/17	771956
10/26/17	753803
10/27/17	780159
10/28/17	819895
10/29/17	818176
10/30/17	871223
10/31/17	914962
11/1/17	842105
11/2/17	850606
11/3/17	821055
11/4/17	694624
11/5/17	615927
11/6/17	719405
11/7/17	681125
11/8/17	781839
11/9/17	804947
11/10/17	769917
11/11/17	766769
11/12/17	824346
11/13/17	819268
11/14/17	822345
11/15/17	858755
11/16/17	841731
11/17/17	858067
11/18/17	804619
11/19/17	810788
11/20/17	876486
11/21/17	860406
11/22/17	848477
11/23/17	862115
11/24/17	900278
11/25/17	883352
11/26/17	945284
11/27/17	1049376
11/28/17	1059109
11/29/17	1077633
11/30/17	1015294
12/1/17	956786
12/2/17	1010527
12/3/17	1096105
12/4/17	1064120
12/5/17	1099423
12/6/17	1219694
12/7/17	1063752
12/8/17	1231353
12/9/17	1229718
12/10/17	1256666
12/11/17	1357660
12/12/17	1386289
12/13/17	1383006
12/14/17	1456484
12/15/17	1358197
12/16/17	1375387
12/17/17	1299657
12/18/17	1445965
12/19/17	1523904
12/20/17	1484169
12/21/17	1475057
12/22/17	1486930
12/23/17	1374060
12/24/17	1169280
12/25/17	1131022
12/26/17	1151145
12/27/17	1275759
12/28/17	1357774
12/29/17	1503372
12/30/17	1514721
12/31/17	1343259
1/1/18	1253483
1/2/18	1550390
1/3/18	1571233
1/4/18	1623501
1/5/18	1610345
1/6/18	1563954
1/7/18	1504661
1/8/18	1575436
1/9/18	1558049
1/10/18	1498327
1/11/18	1465934
1/12/18	1404524
1/13/18	1456183
1/14/18	1381993
1/15/18	1518930
1/16/18	1616582
1/17/18	1603521
1/18/18	1562837
1/19/18	1417898
1/20/18	1409373
1/21/18	1414031
1/22/18	1442555
1/23/18	1478423
1/24/18	1333567
1/25/18	1237249
1/26/18	1385425
1/27/18	1251993
1/28/18	1340065
1/29/18	1283021
1/30/18	1295550
1/31/18	1316189
2/1/18	1527292
2/2/18	1416185
2/3/18	1179150
2/4/18	1206359
2/5/18	1324661
2/6/18	1356523
2/7/18	1354284
2/8/18	1215233
2/9/18	1304472
2/10/18	1373248
2/11/18	1255352
2/12/18	1288997
2/13/18	1348944
2/14/18	1230676
2/15/18	1311961
2/16/18	1282971
2/17/18	1311563
2/18/18	1345019
2/19/18	1214875
2/20/18	1298030
2/21/18	1282224
2/22/18	1212365
2/23/18	1186889
2/24/18	1177925
2/25/18	1179500
2/26/18	1180562
2/27/18	1137801
2/28/18	1210392
3/1/18	1189114
3/2/18	1265409
3/3/18	1138945
3/4/18	1094045
3/5/18	1144770
3/6/18	1126043
3/7/18	1222302
3/8/18	1131217
3/9/18	1116107
3/10/18	1131040
3/11/18	1056846
3/12/18	1122265
3/13/18	1126268
3/14/18	1201740
3/15/18	1200768
3/16/18	1342901
3/17/18	1228426
3/18/18	1256491
3/19/18	1171479
3/20/18	1129088
3/21/18	1179861
3/22/18	1111305
3/23/18	1219454
3/24/18	1254992
3/25/18	1173705
3/26/18	1131696
3/27/18	1033846
3/28/18	993566
3/29/18	1094485
3/30/18	1243645
3/31/18	1222375
4/1/18	1138832
4/2/18	1167941
4/3/18	1311305
4/4/18	1234963
4/5/18	1308916
4/6/18	1247667
4/7/18	1268402
4/8/18	1172149
4/9/18	1291155
4/10/18	1276261
4/11/18	1483780
4/12/18	1433143
4/13/18	1435057
4/14/18	1336450
4/15/18	1433299
4/16/18	1408297
4/17/18	1421808
4/18/18	1423002
4/19/18	1512290
4/20/18	1479936
4/21/18	1504411
4/22/18	1434241
4/23/18	1494137
4/24/18	1572598
4/25/18	1494597
4/26/18	1464802
4/27/18	1335561
4/28/18	1244309
4/29/18	1304835
4/30/18	1338300
5/1/18	1294215
5/2/18	1399908
5/3/18	1465913
5/4/18	1503571
5/5/18	1449536
5/6/18	1421837
5/7/18	1420334
5/8/18	1425749
5/9/18	1514328
5/10/18	1437284
5/11/18	1444883
5/12/18	1355786
5/13/18	1378272
5/14/18	1409008
5/15/18	1396955
5/16/18	1401578
5/17/18	1351768
5/18/18	1359267
5/19/18	1377866
5/20/18	1353110
5/21/18	1378498
5/22/18	1330994
5/23/18	1402330
5/24/18	1342010
5/25/18	1312071
5/26/18	1256096
5/27/18	1210720
5/28/18	1352284
5/29/18	1297888
5/30/18	1222047
5/31/18	1337598
6/1/18	1317275
6/2/18	1225767
6/3/18	1197239
6/4/18	1238406
6/5/18	1206044
6/6/18	1444810
6/7/18	1183950
6/8/18	1254316
6/9/18	1164127
6/10/18	1274989
6/11/18	1238880
6/12/18	1240727
6/13/18	1204240
6/14/18	1143184
6/15/18	1129802
6/16/18	1098762
6/17/18	1100131
6/18/18	1161146
6/19/18	1225587
6/20/18	1306619
6/21/18	1323938
6/22/18	1325546
6/23/18	1178133
6/24/18	1214087
6/25/18	1395390
6/26/18	1262952
6/27/18	1365946
6/28/18	1334981
6/29/18	1377892
6/30/18	1277700
7/1/18	1238643
