DATE	ENDBLOCK
3/5/17	3299270
3/6/17	3305247
3/7/17	3311225
3/8/17	3317241
3/9/17	3323169
3/10/17	3329122
3/11/17	3335124
3/12/17	3341043
3/13/17	3347083
3/14/17	3353044
3/15/17	3359030
3/16/17	3365020
3/17/17	3371066
3/18/17	3377057
3/19/17	3383007
3/20/17	3389073
3/21/17	3395030
3/22/17	3401038
3/23/17	3406952
3/24/17	3412865
3/25/17	3418827
3/26/17	3424808
3/27/17	3430759
3/28/17	3436659
3/29/17	3442647
3/30/17	3448557
3/31/17	3454528
4/1/17	3460454
4/2/17	3466300
4/3/17	3472279
4/4/17	3478211
4/5/17	3484197
4/6/17	3490077
4/7/17	3496023
4/8/17	3501959
4/9/17	3507756
4/10/17	3513514
4/11/17	3519363
4/12/17	3525142
4/13/17	3530940
4/14/17	3536848
4/15/17	3542569
4/16/17	3548389
4/17/17	3554250
4/18/17	3560111
4/19/17	3565829
4/20/17	3571688
4/21/17	3577566
4/22/17	3583358
4/23/17	3589222
4/24/17	3594943
4/25/17	3600840
4/26/17	3606477
4/27/17	3612119
4/28/17	3617816
4/29/17	3623442
4/30/17	3629090
5/1/17	3634714
5/2/17	3640333
5/3/17	3645982
5/4/17	3651631
5/5/17	3657306
5/6/17	3662984
5/7/17	3668702
5/8/17	3674342
5/9/17	3680014
5/10/17	3685662
5/11/17	3691364
5/12/17	3697052
5/13/17	3702643
5/14/17	3708045
5/15/17	3713446
5/16/17	3718903
5/17/17	3724228
5/18/17	3729690
5/19/17	3735114
5/20/17	3740603
5/21/17	3746040
5/22/17	3751508
5/23/17	3756927
5/24/17	3762354
5/25/17	3767819
5/26/17	3773311
5/27/17	3778750
5/28/17	3784203
5/29/17	3789782
5/30/17	3795363
5/31/17	3800775
6/1/17	3806051
6/2/17	3811138
6/3/17	3816344
6/4/17	3821504
6/5/17	3826753
6/6/17	3831961
6/7/17	3837200
6/8/17	3842409
6/9/17	3847623
6/10/17	3852955
6/11/17	3858201
6/12/17	3863438
6/13/17	3868710
6/14/17	3874003
6/15/17	3879308
6/16/17	3884644
6/17/17	3889923
6/18/17	3895270
6/19/17	3900604
6/20/17	3905571
6/21/17	3910469
6/22/17	3915413
6/23/17	3920303
