DATE	#TRACES_SELFDESRUCT
1/29/18	41
1/30/18	28
1/31/18	64
2/1/18	21
2/2/18	97
2/3/18	54
2/4/18	39
2/5/18	102
2/6/18	122
2/7/18	57
2/8/18	92
2/9/18	328
2/10/18	78
2/11/18	78
2/12/18	136
2/13/18	81
2/14/18	72
2/15/18	101
2/16/18	103
2/17/18	709
2/18/18	12
2/19/18	251
2/20/18	269
2/21/18	34
2/22/18	9
2/23/18	13
2/24/18	47
2/25/18	161
2/26/18	16
2/27/18	16
2/28/18	17
3/1/18	14
3/2/18	52
3/3/18	381
3/4/18	129
3/5/18	22
3/6/18	40
3/7/18	5
3/8/18	15
3/9/18	22
3/10/18	505
3/11/18	25
3/12/18	9
3/13/18	28
3/14/18	11
3/15/18	10
3/16/18	27
3/17/18	16
3/18/18	12
3/19/18	147
3/20/18	815
3/21/18	38
3/22/18	46
3/23/18	51
3/24/18	18
3/25/18	18
3/26/18	60
3/27/18	61
3/28/18	23
3/29/18	51
3/30/18	18
3/31/18	40
4/1/18	18
4/2/18	24
4/3/18	324
4/4/18	46
4/5/18	13
4/6/18	19
4/7/18	11
4/8/18	13
4/9/18	190
4/10/18	21
4/11/18	11
4/12/18	31
4/13/18	39
4/14/18	456
4/15/18	46
4/16/18	38
4/17/18	35
4/18/18	37
4/19/18	30
4/20/18	25
4/21/18	46
4/22/18	6
4/23/18	14
4/24/18	94
4/25/18	12
4/26/18	14
4/27/18	9
4/28/18	16
4/29/18	350
4/30/18	8
5/1/18	15
5/2/18	11
5/3/18	11
5/4/18	5
5/5/18	8
5/6/18	41
5/7/18	317
5/8/18	8
5/9/18	5
5/10/18	13
5/11/18	7
5/12/18	3
5/13/18	6
5/14/18	10
5/15/18	11
5/16/18	17
5/17/18	9
5/18/18	20
5/19/18	13
5/20/18	5
5/21/18	20
5/22/18	8
5/23/18	20
5/24/18	5
5/25/18	13
5/26/18	1
5/27/18	8
5/28/18	10
5/29/18	100
5/30/18	17
5/31/18	9
6/1/18	8
6/2/18	24
6/3/18	29
6/4/18	13
6/5/18	9
6/6/18	25
6/7/18	22
6/8/18	23
6/9/18	36
6/10/18	7
6/11/18	32
6/12/18	23
6/13/18	35
6/14/18	36
6/15/18	27
6/16/18	9
6/17/18	623
6/18/18	284
6/19/18	9
6/20/18	11
6/21/18	22
6/22/18	26
6/23/18	258
6/24/18	11
6/25/18	49
6/26/18	37
6/27/18	5
6/28/18	10
6/29/18	28
6/30/18	2
7/1/18	10
