DATE	STARTBLOCK
11/1/17	4467005
11/2/17	4473147
11/3/17	4479291
11/4/17	4485499
11/5/17	4491695
11/6/17	4497994
11/7/17	4504193
11/8/17	4510404
11/9/17	4516640
11/10/17	4522835
11/11/17	4529135
11/12/17	4535402
11/13/17	4541647
11/14/17	4547872
11/15/17	4553994
11/16/17	4560231
11/17/17	4566385
11/18/17	4572620
11/19/17	4578835
11/20/17	4585101
11/21/17	4591277
11/22/17	4597451
11/23/17	4603693
11/24/17	4609883
11/25/17	4616117
11/26/17	4622318
11/27/17	4628487
11/28/17	4634573
11/29/17	4640667
11/30/17	4646775
12/1/17	4652926
12/2/17	4659053
12/3/17	4665106
12/4/17	4671135
12/5/17	4676806
12/6/17	4682394
12/7/17	4687867
12/8/17	4693665
12/9/17	4699468
12/10/17	4705281
12/11/17	4711062
12/12/17	4716811
12/13/17	4722526
12/14/17	4728185
12/15/17	4733879
12/16/17	4739679
12/17/17	4745454
12/18/17	4751235
12/19/17	4757016
12/20/17	4762620
12/21/17	4768191
12/22/17	4773761
12/23/17	4779413
12/24/17	4785360
12/25/17	4791341
12/26/17	4797373
12/27/17	4803365
12/28/17	4809331
12/29/17	4815220
12/30/17	4821006
12/31/17	4826779
1/1/18	4832686
1/2/18	4838612
1/3/18	4844362
1/4/18	4849902
1/5/18	4855356
1/6/18	4860697
1/7/18	4866113
1/8/18	4871641
1/9/18	4877049
1/10/18	4882426
1/11/18	4887841
1/12/18	4893271
1/13/18	4898690
1/14/18	4904084
1/15/18	4909709
1/16/18	4915133
1/17/18	4920655
1/18/18	4926227
1/19/18	4931796
1/20/18	4937481
1/21/18	4943354
1/22/18	4949164
1/23/18	4955047
1/24/18	4960945
1/25/18	4966906
1/26/18	4972816
1/27/18	4978726
1/28/18	4984730
1/29/18	4990747
1/30/18	4996672
1/31/18	5002539
2/1/18	5008422
2/2/18	5014200
2/3/18	5020065
2/4/18	5026038
2/5/18	5031998
2/6/18	5038023
2/7/18	5043949
2/8/18	5049862
2/9/18	5055864
2/10/18	5061800
2/11/18	5067822
2/12/18	5073777
2/13/18	5079722
2/14/18	5085687
2/15/18	5091547
2/16/18	5097513
