address	encoding	type	constant	name	signature	input_names
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xf8ccb027dfcd135e000e9d45e6cc2d662578a8825d4c45b5e32e0adf67e79ec6	event	0	AdminTransferred	AdminTransferred(address,address)	previousAdmin,newAdmin,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xa14d191ca4f53bfcf003c65d429362010a2d3d68bc0c50cce4bdc0fccf661fb0	event	0	PausePublic	PausePublic(bool)	newState,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xc77636fc4a62a1fa193ef538c0b7993a1313a0d9c0a9173058cebcd3239ef7b5	event	0	PauseOwnerAdmin	PauseOwnerAdmin(bool)	newState,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0	event	0	OwnershipTransferred	OwnershipTransferred(address,address)	previousOwner,newOwner,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925	event	0	Approval	Approval(address,address,uint256)	owner,spender,value,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef	event	0	Transfer	Transfer(address,address,uint256)	from,to,value,
address	encoding	type	constant	name	signature	input_names
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x06fdde03	function	1	name	name()	
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x095ea7b3	function	0	approve	approve(address,uint256)	_spender,_value,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x18160ddd	function	1	totalSupply	totalSupply()	
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x23b872dd	function	0	transferFrom	transferFrom(address,address,uint256)	_from,_to,_value,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x24bb7c26	function	1	pausedPublic	pausedPublic()	
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x313ce567	function	1	decimals	decimals()	
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x42966c68	function	0	burn	burn(uint256)	_value,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x64779ad7	function	1	pausedOwnerAdmin	pausedOwnerAdmin()	
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x66188463	function	0	decreaseApproval	decreaseApproval(address,uint256)	_spender,_subtractedValue,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x70a08231	function	1	balanceOf	balanceOf(address)	_owner,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x79cc6790	function	0	burnFrom	burnFrom(address,uint256)	_from,_value,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x8da5cb5b	function	1	owner	owner()	
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x8f283970	function	0	changeAdmin	changeAdmin(address)	newAdmin,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x95d89b41	function	1	symbol	symbol()	
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xa9059cbb	function	0	transfer	transfer(address,uint256)	_to,_value,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xd73dd623	function	0	increaseApproval	increaseApproval(address,uint256)	_spender,_addedValue,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xdb0e16f1	function	0	emergencyERC20Drain	emergencyERC20Drain(address,uint256)	token,amount,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xdd62ed3e	function	1	allowance	allowance(address,address)	_owner,_spender,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xddeb5094	function	0	pause	pause(bool,bool)	newPausedPublic,newPausedOwnerAdmin,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xf2fde38b	function	0	transferOwnership	transferOwnership(address)	newOwner,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xf851a440	function	1	admin	admin()	
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xcc16f5dbb4873280815c1ee09dbd06736cffcc184412cf7a71a0fdb75d397ca5	event	0	Burn	Burn(address,uint256)	_burner,_value,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xf8ccb027dfcd135e000e9d45e6cc2d662578a8825d4c45b5e32e0adf67e79ec6	event	0	AdminTransferred	AdminTransferred(address,address)	previousAdmin,newAdmin,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xa14d191ca4f53bfcf003c65d429362010a2d3d68bc0c50cce4bdc0fccf661fb0	event	0	PausePublic	PausePublic(bool)	newState,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xc77636fc4a62a1fa193ef538c0b7993a1313a0d9c0a9173058cebcd3239ef7b5	event	0	PauseOwnerAdmin	PauseOwnerAdmin(bool)	newState,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0	event	0	OwnershipTransferred	OwnershipTransferred(address,address)	previousOwner,newOwner,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925	event	0	Approval	Approval(address,address,uint256)	owner,spender,value,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef	event	0	Transfer	Transfer(address,address,uint256)	from,to,value,
address	encoding	type	constant	name	signature	input_names
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x01a7a8c0	function	1	batFundDeposit	batFundDeposit()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x06fdde03	function	1	name	name()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x095ea7b3	function	0	approve	approve(address,uint256)	_spender,_value,
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x18160ddd	function	1	totalSupply	totalSupply()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x229a4978	function	1	batFund	batFund()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x23b872dd	function	0	transferFrom	transferFrom(address,address,uint256)	_from,_to,_value,
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x313ce567	function	1	decimals	decimals()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x4172d080	function	1	tokenExchangeRate	tokenExchangeRate()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x4bb278f3	function	0	finalize	finalize()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x54fd4d50	function	1	version	version()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x590e1ae3	function	0	refund	refund()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x6f7920fd	function	1	tokenCreationCap	tokenCreationCap()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x70a08231	function	1	balanceOf	balanceOf(address)	_owner,
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x8d4e4083	function	1	isFinalized	isFinalized()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x91b43d13	function	1	fundingEndBlock	fundingEndBlock()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x95d89b41	function	1	symbol	symbol()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0xa81c3bdf	function	1	ethFundDeposit	ethFundDeposit()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0xa9059cbb	function	0	transfer	transfer(address,uint256)	_to,_value,
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0xb4427263	function	0	createTokens	createTokens()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0xc039daf6	function	1	tokenCreationMin	tokenCreationMin()	
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0xd648a647	function	1	fundingStartBlock	fundingStartBlock()	
